title,industry,era,genre,star,tier,moment,notes
Jathi Ratnalu,TW,2020s,comedy,Naveen-Polishetty,1,I_KNEW_IT,Jogulamba Gadwal losers
Kalisundam Raa,TW,2000s,drama,Venkatesh,1,GENERATIONAL_BRIDGE,K Raghavendra family hit
Kalki 2898 AD,TW,2020s,sci-fi,Prabhas,1,I_KNEW_IT,mythic sci-fi spectacle
Kanche,TW,2010s,drama,Varun-Tej,1,I_KNEW_IT,Krish WWII caste
Kartavyam,TW,90s,action,Vijayashanti,1,GENERATIONAL_BRIDGE,A Mohan Gandhi lady-cop
Karthikeya,TW,2010s,thriller,Nikhil,1,I_KNEW_IT,Chandoo Mondeti snake temple
Karthikeya 2,TW,2020s,thriller,Nikhil,1,I_KNEW_IT,Krishna bracelet mystery
Khadgam,TW,2000s,action,Srikanth,1,I_KNEW_IT,Krishna Vamsi post-Godhra ensemble
Khaidi,TW,80s,action,Chiranjeevi,1,GENERATIONAL_BRIDGE,A Kodandarami Reddy star-making
Kotha Bangaru Lokam,TW,2000s,romance,Varun-Sandesh,1,I_KNEW_IT,Srikanth Addala small-town
Kshanam,TW,2010s,thriller,Adivi-Sesh,1,I_KNEW_IT,Ravikanth Perepu missing-child
Ladies Tailor,TW,80s,comedy,Rajendra-Prasad,1,GENERATIONAL_BRIDGE,Vamsi iconic
Lava Kusa,TW,60s,drama,NTR-Sr,1,GENERATIONAL_BRIDGE,CS Rao Ramayana
Legend,TW,2010s,action,Balakrishna,1,I_KNEW_IT,Boyapati factionist
Majili,TW,2010s,romance,Naga-Chaitanya,1,I_KNEW_IT,Shiva Nirvana Sam-Chaitanya
Major,TW,2020s,drama,Adivi-Sesh,1,GENERATIONAL_BRIDGE,26/11 Sandeep Unnikrishnan
Mallesham,TW,2010s,drama,Priyadarshi,1,I_KNEW_IT,Asani weaver biopic
Manasantha Nuvve,TW,2000s,romance,Uday-Kiran,1,GENERATIONAL_BRIDGE,VN Aditya hit 2001
Mass,TW,2000s,action,Nagarjuna,1,I_KNEW_IT,Raghavan Lawrence mass
Master (1995),TW,90s,action,Chiranjeevi,1,GENERATIONAL_BRIDGE,Suresh Krissh cop
Mayabazar,TW,50s,fantasy,NTR-Sr,1,GENERATIONAL_BRIDGE,KV Reddy all-time classic
Mayuri,TW,80s,drama,Sudha-Chandran,1,GENERATIONAL_BRIDGE,Singeetam dancer biopic
Missamma,TW,50s,comedy,NTR-Sr,1,GENERATIONAL_BRIDGE,LV Prasad classic
Money,TW,90s,comedy,JD-Chakravarthy,1,I_KNEW_IT,Siva Nageswara Rao cult
Murari,TW,2000s,drama,Mahesh,1,GENERATIONAL_BRIDGE,family curse epic
NTR Kathanayakudu,TW,2010s,drama,Balakrishna,1,ARGUMENT,Krish biopic part 1
NTR Mahanayakudu,TW,2010s,drama,Balakrishna,1,ARGUMENT,Krish biopic part 2
Nannaku Prematho,TW,2010s,thriller,NTR-Jr,1,I_KNEW_IT,Sukumar father-avenging
Narasimha Naidu,TW,2000s,action,Balakrishna,1,GENERATIONAL_BRIDGE,B Gopal factionist blockbuster
Narthanasala,TW,60s,drama,NTR-Sr,1,GENERATIONAL_BRIDGE,Kamalakara Mahabharata
Nayak,TW,2010s,action,Ram-Charan,1,GENERATIONAL_BRIDGE,VV Vinayak dual-role
Nene Raju Nene Mantri,TW,2010s,drama,Rana-Daggubati,1,ARGUMENT,Teja political
Ninnu Kori,TW,2010s,romance,Nani,1,I_KNEW_IT,triangle drama 2017
Nuvvu Nenu,TW,2000s,romance,Uday-Kiran,1,GENERATIONAL_BRIDGE,Teja breakout rom-com
Oh Baby,TW,2010s,comedy,Samantha,1,I_KNEW_IT,70-to-25 magical comedy
Oopiri,TW,2010s,drama,Nagarjuna,1,I_KNEW_IT,Intouchables Telugu
Patala Bhairavi,TW,50s,fantasy,NTR-Sr,1,GENERATIONAL_BRIDGE,KV Reddy magical
Preminchukundam Raa,TW,90s,romance,Venkatesh,1,GENERATIONAL_BRIDGE,Jayant Paranji rom-com
Pushpa 2 The Rule,TW,2020s,action,Allu-Arjun,1,ARGUMENT,sequel debate vs Rise
Pushpaka Vimanam,TW,80s,comedy,Kamal-Haasan,1,GENERATIONAL_BRIDGE,Singeetam silent film
Race Gurram,TW,2010s,action,Allu-Arjun,1,I_KNEW_IT,Surender Reddy cat-and-mouse
Rakshasudu,TW,2010s,thriller,Bellamkonda-Sreenivas,1,I_KNEW_IT,Ramesh Varma serial-killer
Rangasthalam,TW,2010s,drama,Ram-Charan,1,I_KNEW_IT,Sukumar village epic
Rarandoi Veduka Chudham,TW,2010s,romance,Naga-Chaitanya,1,GENERATIONAL_BRIDGE,Kalyan Krishna hit
Salaar Part 1,TW,2020s,action,Prabhas,1,ARGUMENT,KGF-adjacent bloodbath
Samarasimha Reddy,TW,90s,action,Balakrishna,1,GENERATIONAL_BRIDGE,B Gopal faction origin
Sarileru Neekevvaru,TW,2020s,action,Mahesh,1,I_KNEW_IT,Anil Ravipudi Sankranti
Sarrainodu,TW,2010s,action,Allu-Arjun,1,I_KNEW_IT,Boyapati mass
Shankar Dada MBBS,TW,2000s,comedy,Chiranjeevi,1,I_KNEW_IT,Munnabhai Telugu
Shankar Dada Zindabad,TW,2000s,drama,Chiranjeevi,1,GENERATIONAL_BRIDGE,Lage Raho Telugu
Shyam Singha Roy,TW,2020s,drama,Nani,1,I_KNEW_IT,Bengali writer reincarnation
Simha,TW,2010s,action,Balakrishna,1,GENERATIONAL_BRIDGE,Boyapati mass
Simhadri,TW,2000s,action,NTR-Jr,1,I_KNEW_IT,Rajamouli Mumbai-Malaysia
Sita Ramam,TW,2020s,romance,Dulquer,1,I_KNEW_IT,letter romance pan-India
Soggade Chinni Nayana,TW,2010s,drama,Nagarjuna,1,I_KNEW_IT,Kalyan Krishna ghost-grandfather
Stalin,TW,2000s,action,Chiranjeevi,1,I_KNEW_IT,AR Murugadoss vigilante
Sudigadu,TW,2010s,comedy,Allari-Naresh,1,I_KNEW_IT,Bhimaneni spoof
Sye,TW,2000s,sports,Nithiin,1,I_KNEW_IT,Rajamouli rugby mass
Thammudu,TW,90s,romance,Pawan,1,I_KNEW_IT,brother-sister wedding dash
Vakeel Saab,TW,2020s,drama,Pawan,1,I_KNEW_IT,Pink Telugu remake
Varsham,TW,2000s,romance,Prabhas,1,I_KNEW_IT,Sobhan rain romance
Vedam,TW,2010s,drama,Allu-Arjun,1,I_KNEW_IT,Krish hyperlink ensemble
Veera Simha Reddy,TW,2020s,action,Balakrishna,1,ARGUMENT,factionist Sankranti
Virupaksha,TW,2020s,thriller,Sai-Dharam-Tej,1,I_KNEW_IT,occult village hit
Waltair Veerayya,TW,2020s,action,Chiranjeevi,1,I_KNEW_IT,Chiru Sankranti comeback
Yamadonga,TW,2000s,fantasy,NTR-Jr,1,I_KNEW_IT,Rajamouli hell-heist
Yamagola,TW,70s,fantasy,NTR-Sr,1,GENERATIONAL_BRIDGE,Tatineni Rama Rao hell comedy
Yamudiki Mogudu,TW,80s,fantasy,Chiranjeevi,1,GENERATIONAL_BRIDGE,A Kodandarami Reddy Yama comedy
Yevadu,TW,2010s,action,Ram-Charan,1,I_KNEW_IT,face-transplant mass
Waqt,BW,60s,drama,Balraj-Sahni,2,GENERATIONAL_BRIDGE,lost-and-found trope origin
Aradhana,BW,60s,romance,Rajesh-Khanna,1,I_KNEW_IT,Kishore Kumar breakthrough
Woh Kaun Thi,BW,60s,thriller,Manoj-Kumar,2,GENERATIONAL_BRIDGE,black-and-white mystery
Sangam,BW,60s,romance,Raj-Kapoor,1,I_KNEW_IT,love-triangle
Padosan,BW,60s,comedy,Sunil-Dutt,1,I_KNEW_IT,Mere Saamne Wali Khidki
Teesri Manzil,BW,60s,thriller,Shammi-Kapoor,1,I_KNEW_IT,RD Burman breakout
Jewel Thief,BW,60s,thriller,Dev-Anand,1,I_KNEW_IT,Vijay Anand noir
Junglee,BW,60s,romance,Shammi-Kapoor,1,I_KNEW_IT,Yahoo song
Upkar,BW,60s,drama,Manoj-Kumar,2,GENERATIONAL_BRIDGE,Mere Desh Ki Dharti
Mother India,BW,60s,drama,Nargis,1,I_KNEW_IT,Oscar-nominated
Ram Aur Shyam,BW,60s,drama,Dilip-Kumar,1,I_KNEW_IT,twin-mix origin
Farz,BW,60s,action,Jeetendra,2,GENERATIONAL_BRIDGE,spy-jumping-jack
Haqeeqat,BW,60s,drama,Dharmendra,2,FLEX,1962 war
Shree 420,BW,60s,drama,Raj-Kapoor,1,I_KNEW_IT,Mera Joota Hai Japani
Awara,BW,60s,drama,Raj-Kapoor,1,I_KNEW_IT,Awara Hoon vagabond
Kashmir Ki Kali,BW,60s,romance,Shammi-Kapoor,3,GENERATIONAL_BRIDGE,Kashmir tourism
Bandini,BW,60s,drama,Nutan,3,FLEX,Bimal Roy female-prisoner
Sujata,BW,60s,drama,Nutan,3,FLEX,caste-love
Do Raaste,BW,60s,drama,Rajesh-Khanna,3,GENERATIONAL_BRIDGE,joint-family conflict
Hum Dono,BW,60s,drama,Dev-Anand,3,FLEX,double-role war
Baazi,BW,60s,thriller,Dev-Anand,3,FLEX,Guru Dutt noir
CID,BW,60s,thriller,Dev-Anand,3,FLEX,detective classic
Jaagte Raho,BW,60s,drama,Raj-Kapoor,3,FLEX,overnight-chawl
Do Bigha Zamin,BW,60s,drama,Balraj-Sahni,1,I_KNEW_IT,farmer migrant
Madhumati,BW,60s,drama,Dilip-Kumar,1,I_KNEW_IT,reincarnation Bimal Roy
Kati Patang,BW,70s,drama,Rajesh-Khanna,2,GENERATIONAL_BRIDGE,widow drama
Kabhi Kabhie,BW,70s,romance,Amitabh,2,GENERATIONAL_BRIDGE,title Khayyam song
Trishul,BW,70s,drama,Amitabh,2,GENERATIONAL_BRIDGE,illegitimate-son revenge
Muqaddar Ka Sikandar,BW,70s,drama,Amitabh,2,GENERATIONAL_BRIDGE,orphan-to-millionaire
Suhaag,BW,70s,drama,Amitabh,2,GENERATIONAL_BRIDGE,two-brother cop-criminal
Johny Mera Naam,BW,70s,thriller,Dev-Anand,1,I_KNEW_IT,lost-brother con
Seeta Aur Geeta,BW,70s,comedy,Hema,1,I_KNEW_IT,twin-swap origin
Amar Prem,BW,70s,drama,Rajesh-Khanna,1,I_KNEW_IT,Chingari Koi Bhadke
Haathi Mere Saathi,BW,70s,drama,Rajesh-Khanna,2,GENERATIONAL_BRIDGE,elephant-love
Jai Santoshi Maa,BW,70s,other,Anita,2,GENERATIONAL_BRIDGE,goddess blockbuster
Dharam Veer,BW,70s,action,Dharmendra,1,I_KNEW_IT,Manmohan-Desai two-hero
Yaadon Ki Baaraat,BW,70s,action,Dharmendra,1,I_KNEW_IT,three-brother anthem-reunion
Mr Natwarlal,BW,70s,action,Amitabh,2,FLEX,con-man tiger
Guddi,BW,70s,drama,Jaya,2,FLEX,actor-crush teen
Parichay,BW,70s,drama,Jaya,1,I_KNEW_IT,Sound-of-Music remake
Pakeezah,BW,70s,drama,Meena-Kumari,1,I_KNEW_IT,courtesan musical
Roti Kapda Aur Makaan,BW,70s,drama,Manoj-Kumar,2,FLEX,Manoj Kumar social
Bawarchi,BW,70s,comedy,Rajesh-Khanna,2,GENERATIONAL_BRIDGE,Hrishikesh Mukherjee
Kaala Patthar,BW,70s,drama,Amitabh,3,FLEX,coal mine ensemble
Mili,BW,70s,drama,Amitabh,3,FLEX,terminal-illness romance
Koshish,BW,70s,drama,Sanjeev-Kumar,1,I_KNEW_IT,deaf-mute couple
Aandhi,BW,70s,drama,Suchitra,3,FLEX,Emergency-banned politician
Mausam,BW,70s,drama,Sanjeev-Kumar,3,FLEX,Gulzar mountain
Khamoshi 1970,BW,70s,drama,Rajesh-Khanna,3,FLEX,nurse-patient romance
Purab Aur Paschim,BW,70s,drama,Manoj-Kumar,3,GENERATIONAL_BRIDGE,East-vs-West
Mr India,BW,80s,other,Anil-Kapoor,1,I_KNEW_IT,Mogambo khush hua
Qayamat Se Qayamat Tak,BW,80s,romance,Aamir,1,I_KNEW_IT,Aamir debut
Maine Pyar Kiya,BW,80s,romance,Salman,1,I_KNEW_IT,Salman debut
Disco Dancer,BW,80s,musical,Mithun,1,I_KNEW_IT,Jimmy Jimmy Jimmy
Laawaris,BW,80s,drama,Amitabh,2,GENERATIONAL_BRIDGE,Mere Angne Mein song
Coolie,BW,80s,action,Amitabh,1,I_KNEW_IT,famous on-set accident
Sharaabi,BW,80s,drama,Amitabh,2,GENERATIONAL_BRIDGE,alcoholic heir
Tezaab,BW,80s,action,Anil-Kapoor,2,GENERATIONAL_BRIDGE,Ek Do Teen
Ram Lakhan,BW,80s,action,Anil-Kapoor,2,GENERATIONAL_BRIDGE,two-brother trope
Tridev,BW,80s,action,Sunny-Deol,2,GENERATIONAL_BRIDGE,Oye Oye song
Chandni,BW,80s,romance,Rishi-Kapoor,1,I_KNEW_IT,Yash Chopra white sari
Karma,BW,80s,action,Dilip-Kumar,2,GENERATIONAL_BRIDGE,patriotic revenge
Yaarana,BW,80s,drama,Amitabh,2,GENERATIONAL_BRIDGE,Saara Zamaana
Umrao Jaan,BW,80s,drama,Rekha,1,I_KNEW_IT,courtesan-poet
Qurbani,BW,80s,action,Feroz,2,GENERATIONAL_BRIDGE,Aap Jaisa Koi
Hero,BW,80s,romance,Jackie,2,GENERATIONAL_BRIDGE,Subhash Ghai launch
Karz,BW,80s,drama,Rishi-Kapoor,1,I_KNEW_IT,reincarnation-revenge
Chaalbaaz,BW,80s,comedy,Sridevi,2,GENERATIONAL_BRIDGE,Seeta-and-Geeta callback
Nagina,BW,80s,drama,Sridevi,2,GENERATIONAL_BRIDGE,snake-dance Mein Teri Dushman
Betaab,BW,80s,romance,Sunny-Deol,2,GENERATIONAL_BRIDGE,Sunny debut
Rocky,BW,80s,action,Sanjay,2,GENERATIONAL_BRIDGE,Sanjay debut
Naam,BW,80s,drama,Sanjay,2,GENERATIONAL_BRIDGE,brothers-abroad
Ek Duuje Ke Liye,BW,80s,romance,Kamal-Haasan,2,GENERATIONAL_BRIDGE,North-South couple
Himmatwala 1983,BW,80s,action,Jeetendra,2,GENERATIONAL_BRIDGE,Nainon Mein Sapna
Khoon Bhari Maang,BW,80s,thriller,Rekha,2,GENERATIONAL_BRIDGE,crocodile-revenge
Silsila,BW,80s,romance,Amitabh,1,I_KNEW_IT,real-life love triangle casting
Shakti,BW,80s,drama,Dilip-Kumar,2,FLEX,Dilip vs Amitabh
Parinda,BW,80s,crime,Anil-Kapoor,2,GENERATIONAL_BRIDGE,Vidhu Vinod Chopra mob
Saagar,BW,80s,romance,Rishi-Kapoor,2,GENERATIONAL_BRIDGE,Dimple comeback
Arth,BW,80s,drama,Shabana,2,GENERATIONAL_BRIDGE,Mahesh Bhatt autobio
Masoom,BW,80s,drama,Naseeruddin,2,GENERATIONAL_BRIDGE,illegitimate-child family
Shaan,BW,80s,action,Amitabh,2,GENERATIONAL_BRIDGE,Shakaal villain
Angoor,BW,80s,comedy,Sanjeev-Kumar,2,FLEX,Comedy-of-Errors
Shahenshah,BW,80s,action,Amitabh,3,FLEX,comeback role
Ardh Satya,BW,80s,drama,Om-Puri,3,GENERATIONAL_BRIDGE,Govind Nihalani cop
Mirch Masala,BW,80s,drama,Smita-Patil,3,GENERATIONAL_BRIDGE,chilli-factory feminist fable
Nayakan,BW,80s,crime,Kamal-Haasan,3,GENERATIONAL_BRIDGE,Mumbai don biopic
Meri Jung,BW,80s,drama,Anil-Kapoor,3,FLEX,courtroom potboiler
Inquilaab,BW,80s,action,Amitabh,3,FLEX,cop-politician
Kranti,BW,80s,drama,Dilip-Kumar,3,FLEX,freedom-fighter ensemble
Prem Rog,BW,80s,romance,Rishi-Kapoor,3,GENERATIONAL_BRIDGE,widow-remarriage
Sadma,BW,80s,drama,Sridevi,3,GENERATIONAL_BRIDGE,amnesia-love
Ram Teri Ganga Maili,BW,80s,drama,Rajiv-Kapoor,3,GENERATIONAL_BRIDGE,Raj Kapoor Ganga
Dilwala,BW,80s,action,Mithun,3,FLEX,Mithun-action
Saaransh,BW,80s,drama,Anupam,3,FLEX,Anupam-Kher debut
Vidhaata,BW,80s,action,Dilip-Kumar,3,FLEX,grandfather-son-gangster
Clerk,BW,80s,drama,Manoj-Kumar,3,FLEX,government-clerk
Tohfa,BW,80s,action,Jeetendra,3,FLEX,Sridevi-Jaya Prada love-triangle
Mawaali,BW,80s,action,Jeetendra,3,FLEX,revenge-80s
Justice Chaudhury,BW,80s,drama,Jeetendra,3,FLEX,courtroom-drama
Jo Jeeta Wohi Sikandar,BW,90s,other,Aamir,1,I_KNEW_IT,college cycle race
Dil To Pagal Hai,BW,90s,romance,SRK,1,I_KNEW_IT,dance troupe
Border,BW,90s,action,Sunny-Deol,1,I_KNEW_IT,1971 war
Rangeela,BW,90s,romance,Aamir,1,I_KNEW_IT,RGV Urmila dance
Raja Hindustani,BW,90s,romance,Aamir,1,I_KNEW_IT,Pardesi Pardesi
Coolie No 1,BW,90s,comedy,Govinda,1,GENERATIONAL_BRIDGE,Sada Suhaagan
Hero No 1,BW,90s,comedy,Govinda,1,GENERATIONAL_BRIDGE,Priyadarshan-adjacent
Roja,BW,90s,thriller,Arvind-Swamy,1,I_KNEW_IT,Rahman debut
Sarfarosh,BW,90s,action,Aamir,2,GENERATIONAL_BRIDGE,cross-border cop
Pardes,BW,90s,drama,SRK,2,GENERATIONAL_BRIDGE,I love my India
Saajan,BW,90s,romance,Salman,1,I_KNEW_IT,poet love triangle
Hum Saath Saath Hain,BW,90s,family,Salman,1,I_KNEW_IT,Sooraj Barjatya ensemble
Biwi No 1,BW,90s,comedy,Salman,1,I_KNEW_IT,David Dhawan
Judwaa,BW,90s,comedy,Salman,1,I_KNEW_IT,twin mix-up
Beta,BW,90s,drama,Anil-Kapoor,2,GENERATIONAL_BRIDGE,stepmother-son
Taal,BW,90s,romance,Anil-Kapoor,2,GENERATIONAL_BRIDGE,Subhash Ghai dance
Khiladi,BW,90s,action,Akshay,1,I_KNEW_IT,Khiladi franchise origin
Mohra,BW,90s,action,Akshay,1,I_KNEW_IT,Tip Tip Barsa Paani
Vastav,BW,90s,crime,Sanjay,2,GENERATIONAL_BRIDGE,accidental-gangster
Khalnayak,BW,90s,action,Sanjay,2,GENERATIONAL_BRIDGE,Choli Ke Peeche
Saajan Chale Sasural,BW,90s,comedy,Govinda,2,GENERATIONAL_BRIDGE,two-wife confusion
Raja Babu,BW,90s,comedy,Govinda,2,GENERATIONAL_BRIDGE,Sarkayile Khatiya
Damini,BW,90s,drama,Sunny-Deol,2,GENERATIONAL_BRIDGE,tareekh pe tareekh
Ghayal,BW,90s,action,Sunny-Deol,2,GENERATIONAL_BRIDGE,wrongly-accused
Phool Aur Kaante,BW,90s,action,Ajay-Devgn,2,GENERATIONAL_BRIDGE,Ajay debut bike-splits
Aashiqui,BW,90s,romance,Rahul-Roy,1,I_KNEW_IT,Mahesh Bhatt cassette-era
Sadak,BW,90s,drama,Sanjay,2,GENERATIONAL_BRIDGE,brothel-rescue
Soldier,BW,90s,action,Bobby,2,GENERATIONAL_BRIDGE,army-revenge
Barsaat,BW,90s,romance,Bobby,2,GENERATIONAL_BRIDGE,Barsaat 1995
Saudagar (1991),BW,90s,drama,Dilip-Kumar,2,GENERATIONAL_BRIDGE,Dilip-Raaj Kumar reunion
Saudagar,BW,90s,drama,Dilip-Kumar,2,GENERATIONAL_BRIDGE,Dilip-Raaj Kumar reunion
Gupt,BW,90s,thriller,Bobby,2,GENERATIONAL_BRIDGE,whodunit climax
Lamhe,BW,90s,romance,Anil-Kapoor,2,FLEX,older-love ahead of time
Dil Hai Ki Manta Nahin,BW,90s,romance,Aamir,2,FLEX,It Happened One Night remake
Ghulam,BW,90s,drama,Aamir,2,FLEX,train-tracks dare
Koyla,BW,90s,action,SRK,2,FLEX,Madhuri coal-mine
Judaai,BW,90s,drama,Anil-Kapoor,2,GENERATIONAL_BRIDGE,second-wife contract
Aankhen,BW,90s,comedy,Govinda,2,FLEX,twin-double role
Dulhe Raja,BW,90s,comedy,Govinda,2,FLEX,restaurant-war comedy
Haseena Maan Jaayegi,BW,90s,comedy,Govinda,2,FLEX,twin-role classic
Gunda,BW,90s,action,Mithun,2,FLEX,cult-meme-movie
Earth 1947,BW,90s,drama,Aamir,3,FLEX,Deepa Mehta partition
Mann,BW,90s,romance,Aamir,3,FLEX,An Affair to Remember remake
Swarg,BW,90s,drama,Govinda,3,FLEX,servant-family loyalty
Shola Aur Shabnam,BW,90s,action,Govinda,3,FLEX,David Dhawan action
Henna,BW,90s,romance,Rishi-Kapoor,3,FLEX,cross-border romance
Jeet,BW,90s,action,Sunny-Deol,3,FLEX,Salman-Sunny love-triangle
Raja Ki Aayegi Baaraat,BW,90s,drama,Rani,3,FLEX,rape-marriage
Aa Ab Laut Chalen,BW,90s,romance,Rani,3,FLEX,Rishi Kapoor directs
Thanedaar,BW,90s,action,Sanjay,3,FLEX,Tamma-Tamma
Aatish,BW,90s,action,Sanjay,3,FLEX,mafia-loyalty
Gumrah,BW,90s,thriller,Sanjay,3,FLEX,Bangkok-drug-trafficking
Hum Aapke Dil Mein Rehte Hain,BW,90s,romance,Anil-Kapoor,3,FLEX,rebound-love
Tere Mere Sapne,BW,90s,drama,Arshad,3,FLEX,Tere Mere Sapne
Anaam,BW,90s,drama,Mithun,3,FLEX,kidnap-drama
Yaaraana,BW,90s,action,Madhuri,3,FLEX,escape-mafia
Mrityudand,BW,90s,drama,Madhuri,3,FLEX,Prakash Jha village women
Dushmani,BW,90s,action,Sunny-Deol,3,FLEX,Sunny-Jackie
Prem Granth,BW,90s,drama,Rishi-Kapoor,3,FLEX,courtesan-love
Gopi Kishan,BW,90s,action,Suniel-Shetty,3,FLEX,twin-brothers
Ziddi,BW,90s,action,Sunny-Deol,3,FLEX,Raveena-Sunny
Lootere,BW,90s,action,Juhi,3,FLEX,Dharmendra-Juhi
Ghajini,BW,2000s,action,Aamir,1,I_KNEW_IT,short-memory revenge
Devdas,BW,2000s,drama,SRK,1,I_KNEW_IT,Bhansali classic
No Entry,BW,2000s,comedy,Anil-Kapoor,1,I_KNEW_IT,three-couple mix-up
Welcome,BW,2000s,comedy,Anil-Kapoor,1,I_KNEW_IT,gangster comedy
Jodhaa Akbar,BW,2000s,historical,Hrithik,1,I_KNEW_IT,Mughal emperor romance
Dhoom,BW,2000s,action,Abhishek,1,I_KNEW_IT,Dhoom origin
Gadar Ek Prem Katha,BW,2000s,drama,Sunny-Deol,1,I_KNEW_IT,Hindu-Muslim partition
Mohabbatein,BW,2000s,drama,SRK,1,I_KNEW_IT,Gurukul love
Veer-Zaara,BW,2000s,romance,SRK,1,I_KNEW_IT,cross-border romance
Kaho Naa Pyaar Hai,BW,2000s,romance,Hrithik,1,I_KNEW_IT,Hrithik debut
Hum Tum,BW,2000s,romance,Saif,1,GENERATIONAL_BRIDGE,When-Harry-met-Sally remake
Fashion,BW,2000s,drama,Priyanka,1,GENERATIONAL_BRIDGE,model-burnout
Don (2006),BW,2000s,thriller,SRK,1,ARGUMENT,remake debate
Slumdog Millionaire,BW,2000s,drama,Dev-Patel,1,ARGUMENT,Oscar-Indian debate
Tere Naam,BW,2000s,romance,Salman,2,GENERATIONAL_BRIDGE,iconic hairstyle
Partner,BW,2000s,comedy,Salman,2,GENERATIONAL_BRIDGE,Hitch remake
Company,BW,2000s,crime,Ajay,2,GENERATIONAL_BRIDGE,RGV mob
Namastey London,BW,2000s,romance,Akshay,2,GENERATIONAL_BRIDGE,NRI bride
Bachna Ae Haseeno,BW,2000s,romance,Ranbir,2,GENERATIONAL_BRIDGE,three-ex apology
Lakshya,BW,2000s,drama,Hrithik,2,GENERATIONAL_BRIDGE,Kargil coming-of-age
Mujhse Dosti Karoge,BW,2000s,romance,Hrithik,2,GENERATIONAL_BRIDGE,email-pen-pal
Parineeta,BW,2000s,romance,Saif,2,GENERATIONAL_BRIDGE,Saratchandra adaptation
Salaam Namaste,BW,2000s,romance,Saif,2,GENERATIONAL_BRIDGE,Australia live-in
Masti,BW,2000s,comedy,Vivek,2,GENERATIONAL_BRIDGE,husbands-cheat comedy
Bluffmaster,BW,2000s,comedy,Abhishek,2,GENERATIONAL_BRIDGE,con-comedy
Bunty Aur Babli,BW,2000s,comedy,Abhishek,2,GENERATIONAL_BRIDGE,con-duo
Sarkar,BW,2000s,crime,Abhishek,2,GENERATIONAL_BRIDGE,RGV Godfather
Bhagam Bhag,BW,2000s,comedy,Govinda,2,GENERATIONAL_BRIDGE,theater-troupe comedy
Life in a Metro,BW,2000s,drama,Irrfan,2,GENERATIONAL_BRIDGE,Mumbai-ensemble
Kaminey,BW,2000s,crime,Shahid,2,GENERATIONAL_BRIDGE,twin-brothers lisp-stutter
Vivah,BW,2000s,romance,Shahid,2,GENERATIONAL_BRIDGE,Barjatya purity
Ishq Vishk,BW,2000s,romance,Shahid,2,GENERATIONAL_BRIDGE,Shahid debut
New York,BW,2000s,drama,John,2,GENERATIONAL_BRIDGE,post-9/11 Guantanamo
Raaz,BW,2000s,horror,Bipasha,2,GENERATIONAL_BRIDGE,Mahesh-Bhatt horror
Jannat,BW,2000s,romance,Emraan,2,GENERATIONAL_BRIDGE,cricket-betting
Murder,BW,2000s,thriller,Emraan,2,GENERATIONAL_BRIDGE,extramarital serial-kisser
Hungama,BW,2000s,comedy,Akshaye-Khanna,1,I_KNEW_IT,Priyadarshan-classic
Malamaal Weekly,BW,2000s,comedy,Paresh,2,GENERATIONAL_BRIDGE,lottery-village comedy
Dus,BW,2000s,action,Sanjay,2,GENERATIONAL_BRIDGE,ATS-terrorist
Mission Kashmir,BW,2000s,action,Sanjay,2,GENERATIONAL_BRIDGE,father-son terror
1920,BW,2000s,horror,Rajneesh,2,GENERATIONAL_BRIDGE,period haunting
Humraaz,BW,2000s,thriller,Bobby,2,GENERATIONAL_BRIDGE,magician-con
Oye Lucky Lucky Oye,BW,2000s,comedy,Abhay,2,GENERATIONAL_BRIDGE,Delhi-thief
